09:50:16:598 [ALWAYS]	GUDE Logging Started
09:50:16:599 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:50:16:599 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:50:16:599 [ERROR]	Initialize resume cache pointer failure
09:50:16:599 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:50:16:599 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:50:23:163 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:50:23:163 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:50:23:163 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:50:23:163 [ERROR]	Initialize resume cache pointer failure
09:50:23:163 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:50:23:163 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
